financial_year,actual_revised_estimated,sector,ministry,type,amount,percent_of_gdp
1997,Actual,Social Development,Education,Operating,3348,0.022
1998,Actual,Social Development,Education,Operating,3167,0.022
1999,Actual,Social Development,Education,Operating,3257,0.022
2000,Actual,Social Development,Education,Operating,4277,0.025
2001,Actual,Social Development,Education,Operating,4767,0.030
2002,Actual,Social Development,Education,Operating,4824,0.029
2003,Actual,Social Development,Education,Operating,4997,0.029
2004,Actual,Social Development,Education,Operating,4975,0.025
2005,Actual,Social Development,Education,Operating,5215,0.024
2006,Actual,Social Development,Education,Operating,6352,0.026
2007,Actual,Social Development,Education,Operating,6786,0.025
2008,Actual,Social Development,Education,Operating,7477,0.028
2009,Actual,Social Development,Education,Operating,7838,0.027
2010,Actual,Social Development,Education,Operating,8999,0.027
2011,Actual,Social Development,Education,Operating,9698,0.028
2012,Actual,Social Development,Education,Operating,9637,0.026
2013,Actual,Social Development,Education,Operating,10665,0.028
2014,Actual,Social Development,Education,Operating,10712,0.027
2015,Actual,Social Development,Education,Operating,11236,0.027
2016,Actual,Social Development,Education,Operating,11812,0.027
2017,Revised,Social Development,Education,Operating,12022,0.027
2018,Estimated,Social Development,Education,Operating,12270,0.026
1997,Actual,Social Development,Education,Development,1102,0.007
1998,Actual,Social Development,Education,Development,1686,0.012
1999,Actual,Social Development,Education,Development,1601,0.011
2000,Actual,Social Development,Education,Development,1591,0.009
2001,Actual,Social Development,Education,Development,1473,0.009
2002,Actual,Social Development,Education,Development,1774,0.011
2003,Actual,Social Development,Education,Development,1218,0.007
2004,Actual,Social Development,Education,Development,1239,0.006
2005,Actual,Social Development,Education,Development,867,0.004
2006,Actual,Social Development,Education,Development,608,0.003
2007,Actual,Social Development,Education,Development,742,0.003
2008,Actual,Social Development,Education,Development,753,0.003
2009,Actual,Social Development,Education,Development,847,0.003
2010,Actual,Social Development,Education,Development,877,0.003
2011,Actual,Social Development,Education,Development,1042,0.003
2012,Actual,Social Development,Education,Development,860,0.002
2013,Actual,Social Development,Education,Development,973,0.003
2014,Actual,Social Development,Education,Development,886,0.002
2015,Actual,Social Development,Education,Development,699,0.002
2016,Actual,Social Development,Education,Development,657,0.002
2017,Revised,Social Development,Education,Development,658,0.001
2018,Estimated,Social Development,Education,Development,570,0.001
1997,Actual,Social Development,National Development,Operating,441,0.003
1998,Actual,Social Development,National Development,Operating,402,0.003
1999,Actual,Social Development,National Development,Operating,358,0.002
2000,Actual,Social Development,National Development,Operating,325,0.002
2001,Actual,Social Development,National Development,Operating,398,0.003
2002,Actual,Social Development,National Development,Operating,409,0.002
2003,Actual,Social Development,National Development,Operating,414,0.002
2004,Actual,Social Development,National Development,Operating,377,0.002
2005,Actual,Social Development,National Development,Operating,336,0.002
2006,Actual,Social Development,National Development,Operating,671,0.003
2007,Actual,Social Development,National Development,Operating,900,0.003
2008,Actual,Social Development,National Development,Operating,805,0.003
2009,Actual,Social Development,National Development,Operating,959,0.003
2010,Actual,Social Development,National Development,Operating,790,0.002
2011,Actual,Social Development,National Development,Operating,1428,0.004
2012,Actual,Social Development,National Development,Operating,949,0.003
2013,Actual,Social Development,National Development,Operating,673,0.002
2014,Actual,Social Development,National Development,Operating,858,0.002
2015,Actual,Social Development,National Development,Operating,1332,0.003
2016,Actual,Social Development,National Development,Operating,2284,0.005
2017,Revised,Social Development,National Development,Operating,3169,0.007
2018,Estimated,Social Development,National Development,Operating,2666,0.006
1997,Actual,Social Development,National Development,Development,972,0.006
1998,Actual,Social Development,National Development,Development,2003,0.014
1999,Actual,Social Development,National Development,Development,2172,0.014
2000,Actual,Social Development,National Development,Development,2069,0.012
2001,Actual,Social Development,National Development,Development,1770,0.011
2002,Actual,Social Development,National Development,Development,1089,0.007
2003,Actual,Social Development,National Development,Development,1865,0.011
2004,Actual,Social Development,National Development,Development,1153,0.006
2005,Actual,Social Development,National Development,Development,1010,0.005
2006,Actual,Social Development,National Development,Development,675,0.003
2007,Actual,Social Development,National Development,Development,1187,0.004
2008,Actual,Social Development,National Development,Development,1095,0.004
2009,Actual,Social Development,National Development,Development,1307,0.004
2010,Actual,Social Development,National Development,Development,1646,0.005
2011,Actual,Social Development,National Development,Development,1572,0.004
2012,Actual,Social Development,National Development,Development,1354,0.004
2013,Actual,Social Development,National Development,Development,901,0.002
2014,Actual,Social Development,National Development,Development,1308,0.003
2015,Actual,Social Development,National Development,Development,1321,0.003
2016,Actual,Social Development,National Development,Development,1248,0.003
2017,Revised,Social Development,National Development,Development,1199,0.003
2018,Estimated,Social Development,National Development,Development,1380,0.003
1997,Actual,Social Development,Health,Operating,896,0.006
1998,Actual,Social Development,Health,Operating,992,0.007
1999,Actual,Social Development,Health,Operating,936,0.006
2000,Actual,Social Development,Health,Operating,1072,0.006
2001,Actual,Social Development,Health,Operating,1445,0.009
2002,Actual,Social Development,Health,Operating,1451,0.009
2003,Actual,Social Development,Health,Operating,1904,0.011
2004,Actual,Social Development,Health,Operating,1604,0.008
2005,Actual,Social Development,Health,Operating,1680,0.008
2006,Actual,Social Development,Health,Operating,1840,0.008
2007,Actual,Social Development,Health,Operating,2019,0.007
2008,Actual,Social Development,Health,Operating,2379,0.009
2009,Actual,Social Development,Health,Operating,2920,0.010
2010,Actual,Social Development,Health,Operating,3258,0.010
2011,Actual,Social Development,Health,Operating,3489,0.010
2012,Actual,Social Development,Health,Operating,4066,0.011
2013,Actual,Social Development,Health,Operating,5044,0.013
2014,Actual,Social Development,Health,Operating,5872,0.015
2015,Actual,Social Development,Health,Operating,7520,0.018
2016,Actual,Social Development,Health,Operating,8199,0.019
2017,Revised,Social Development,Health,Operating,9021,0.020
2018,Estimated,Social Development,Health,Operating,8952,0.019
1997,Actual,Social Development,Health,Development,274,0.002
1998,Actual,Social Development,Health,Development,251,0.002
1999,Actual,Social Development,Health,Development,153,0.001
2000,Actual,Social Development,Health,Development,140,0.001
2001,Actual,Social Development,Health,Development,145,0.001
2002,Actual,Social Development,Health,Development,82,0.000
2003,Actual,Social Development,Health,Development,103,0.001
2004,Actual,Social Development,Health,Development,114,0.001
2005,Actual,Social Development,Health,Development,85,0.000
2006,Actual,Social Development,Health,Development,96,0.000
2007,Actual,Social Development,Health,Development,185,0.001
2008,Actual,Social Development,Health,Development,336,0.001
2009,Actual,Social Development,Health,Development,711,0.002
2010,Actual,Social Development,Health,Development,485,0.001
2011,Actual,Social Development,Health,Development,453,0.001
2012,Actual,Social Development,Health,Development,605,0.002
2013,Actual,Social Development,Health,Development,723,0.002
2014,Actual,Social Development,Health,Development,1147,0.003
2015,Actual,Social Development,Health,Development,1413,0.003
2016,Actual,Social Development,Health,Development,1619,0.004
2017,Revised,Social Development,Health,Development,1461,0.003
2018,Estimated,Social Development,Health,Development,1280,0.003
1997,Actual,Social Development,Environment and Water Resources,Operating,318,0.002
1998,Actual,Social Development,Environment and Water Resources,Operating,314,0.002
1999,Actual,Social Development,Environment and Water Resources,Operating,329,0.002
2000,Actual,Social Development,Environment and Water Resources,Operating,390,0.002
2001,Actual,Social Development,Environment and Water Resources,Operating,414,0.003
2002,Actual,Social Development,Environment and Water Resources,Operating,448,0.003
2003,Actual,Social Development,Environment and Water Resources,Operating,453,0.003
2004,Actual,Social Development,Environment and Water Resources,Operating,479,0.002
2005,Actual,Social Development,Environment and Water Resources,Operating,408,0.002
2006,Actual,Social Development,Environment and Water Resources,Operating,414,0.002
2007,Actual,Social Development,Environment and Water Resources,Operating,453,0.002
2008,Actual,Social Development,Environment and Water Resources,Operating,606,0.002
2009,Actual,Social Development,Environment and Water Resources,Operating,656,0.002
2010,Actual,Social Development,Environment and Water Resources,Operating,720,0.002
2011,Actual,Social Development,Environment and Water Resources,Operating,726,0.002
2012,Actual,Social Development,Environment and Water Resources,Operating,813,0.002
2013,Actual,Social Development,Environment and Water Resources,Operating,958,0.002
2014,Actual,Social Development,Environment and Water Resources,Operating,1049,0.003
2015,Actual,Social Development,Environment and Water Resources,Operating,1125,0.003
2016,Actual,Social Development,Environment and Water Resources,Operating,1201,0.003
2017,Revised,Social Development,Environment and Water Resources,Operating,1260,0.003
2018,Estimated,Social Development,Environment and Water Resources,Operating,1304,0.003
1997,Actual,Social Development,Environment and Water Resources,Development,652,0.004
1998,Actual,Social Development,Environment and Water Resources,Development,1042,0.007
1999,Actual,Social Development,Environment and Water Resources,Development,945,0.006
2000,Actual,Social Development,Environment and Water Resources,Development,528,0.003
2001,Actual,Social Development,Environment and Water Resources,Development,502,0.003
2002,Actual,Social Development,Environment and Water Resources,Development,771,0.005
2003,Actual,Social Development,Environment and Water Resources,Development,952,0.005
2004,Actual,Social Development,Environment and Water Resources,Development,1101,0.006
2005,Actual,Social Development,Environment and Water Resources,Development,775,0.004
2006,Actual,Social Development,Environment and Water Resources,Development,570,0.002
2007,Actual,Social Development,Environment and Water Resources,Development,381,0.001
2008,Actual,Social Development,Environment and Water Resources,Development,325,0.001
2009,Actual,Social Development,Environment and Water Resources,Development,323,0.001
2010,Actual,Social Development,Environment and Water Resources,Development,406,0.001
2011,Actual,Social Development,Environment and Water Resources,Development,349,0.001
2012,Actual,Social Development,Environment and Water Resources,Development,352,0.001
2013,Actual,Social Development,Environment and Water Resources,Development,325,0.001
2014,Actual,Social Development,Environment and Water Resources,Development,427,0.001
2015,Actual,Social Development,Environment and Water Resources,Development,567,0.001
2016,Actual,Social Development,Environment and Water Resources,Development,684,0.002
2017,Revised,Social Development,Environment and Water Resources,Development,1553,0.003
2018,Estimated,Social Development,Environment and Water Resources,Development,912,0.002
1997,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
1998,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
1999,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2000,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2001,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2002,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2003,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2004,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2005,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2006,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2007,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2008,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2009,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2010,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2011,Actual,Social Development,"Culture, Community and Youth",Operating,0,0.000
2012,Actual,Social Development,"Culture, Community and Youth",Operating,364,0.001
2013,Actual,Social Development,"Culture, Community and Youth",Operating,1003,0.003
2014,Actual,Social Development,"Culture, Community and Youth",Operating,1335,0.003
2015,Actual,Social Development,"Culture, Community and Youth",Operating,1795,0.004
2016,Actual,Social Development,"Culture, Community and Youth",Operating,1444,0.003
2017,Revised,Social Development,"Culture, Community and Youth",Operating,1596,0.004
2018,Estimated,Social Development,"Culture, Community and Youth",Operating,1669,0.004
1997,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
1998,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
1999,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2000,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2001,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2002,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2003,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2004,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2005,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2006,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2007,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2008,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2009,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2010,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2011,Actual,Social Development,"Culture, Community and Youth",Development,0,0.000
2012,Actual,Social Development,"Culture, Community and Youth",Development,95,0.000
2013,Actual,Social Development,"Culture, Community and Youth",Development,212,0.001
2014,Actual,Social Development,"Culture, Community and Youth",Development,617,0.002
2015,Actual,Social Development,"Culture, Community and Youth",Development,779,0.002
2016,Actual,Social Development,"Culture, Community and Youth",Development,507,0.001
2017,Revised,Social Development,"Culture, Community and Youth",Development,496,0.001
2018,Estimated,Social Development,"Culture, Community and Youth",Development,270,0.001
1997,Actual,Social Development,Social and Family Development,Operating,290,0.002
1998,Actual,Social Development,Social and Family Development,Operating,363,0.003
1999,Actual,Social Development,Social and Family Development,Operating,310,0.002
2000,Actual,Social Development,Social and Family Development,Operating,377,0.002
2001,Actual,Social Development,Social and Family Development,Operating,513,0.003
2002,Actual,Social Development,Social and Family Development,Operating,572,0.003
2003,Actual,Social Development,Social and Family Development,Operating,619,0.004
2004,Actual,Social Development,Social and Family Development,Operating,814,0.004
2005,Actual,Social Development,Social and Family Development,Operating,844,0.004
2006,Actual,Social Development,Social and Family Development,Operating,903,0.004
2007,Actual,Social Development,Social and Family Development,Operating,962,0.003
2008,Actual,Social Development,Social and Family Development,Operating,1182,0.004
2009,Actual,Social Development,Social and Family Development,Operating,1565,0.005
2010,Actual,Social Development,Social and Family Development,Operating,1829,0.006
2011,Actual,Social Development,Social and Family Development,Operating,1721,0.005
2012,Actual,Social Development,Social and Family Development,Operating,1739,0.005
2013,Actual,Social Development,Social and Family Development,Operating,1598,0.004
2014,Actual,Social Development,Social and Family Development,Operating,1722,0.004
2015,Actual,Social Development,Social and Family Development,Operating,2121,0.005
2016,Actual,Social Development,Social and Family Development,Operating,2389,0.006
2017,Revised,Social Development,Social and Family Development,Operating,2560,0.006
2018,Estimated,Social Development,Social and Family Development,Operating,2972,0.006
1997,Actual,Social Development,Social and Family Development,Development,169,0.001
1998,Actual,Social Development,Social and Family Development,Development,138,0.001
1999,Actual,Social Development,Social and Family Development,Development,132,0.001
2000,Actual,Social Development,Social and Family Development,Development,92,0.001
2001,Actual,Social Development,Social and Family Development,Development,118,0.001
2002,Actual,Social Development,Social and Family Development,Development,112,0.001
2003,Actual,Social Development,Social and Family Development,Development,90,0.001
2004,Actual,Social Development,Social and Family Development,Development,97,0.000
2005,Actual,Social Development,Social and Family Development,Development,97,0.000
2006,Actual,Social Development,Social and Family Development,Development,103,0.000
